alias,term
sphingomyelin cholesterol lipidosis,"niemann-pick disease, type a"
"cholesterol lipidoses, sphingomyelin","niemann-pick disease, type a"
"cholesterol lipidosis, sphingomyelin","niemann-pick disease, type a"
"lipidoses, sphingomyelin cholesterol","niemann-pick disease, type a"
"lipidosis, sphingomyelin cholesterol","niemann-pick disease, type a"
sphingomyelin cholesterol lipidoses,"niemann-pick disease, type a"
type a niemann-pick disease,"niemann-pick disease, type a"
type a niemann pick disease,"niemann-pick disease, type a"
niemann-pick's disease type a,"niemann-pick disease, type a"
niemann pick's disease type a,"niemann-pick disease, type a"
sphingomyelin lipidosis,"niemann-pick disease, type a"
"lipidoses, sphingomyelin","niemann-pick disease, type a"
"lipidosis, sphingomyelin","niemann-pick disease, type a"
sphingomyelin lipidoses,"niemann-pick disease, type a"
sphingomyelinase deficiency,"niemann-pick disease, type a"
"deficiencies, sphingomyelinase","niemann-pick disease, type a"
"deficiency, sphingomyelinase","niemann-pick disease, type a"
sphingomyelinase deficiencies,"niemann-pick disease, type a"
neuronal cholesterol lipidosis,"niemann-pick disease, type a"
"cholesterol lipidoses, neuronal","niemann-pick disease, type a"
"cholesterol lipidosis, neuronal","niemann-pick disease, type a"
"lipidoses, neuronal cholesterol","niemann-pick disease, type a"
"lipidosis, neuronal cholesterol","niemann-pick disease, type a"
neuronal cholesterol lipidoses,"niemann-pick disease, type a"
"ophthalmoplegia, supraoptic vertical","niemann-pick disease, type a"
"ophthalmoplegias, supraoptic vertical","niemann-pick disease, type a"
supraoptic vertical ophthalmoplegia,"niemann-pick disease, type a"
supraoptic vertical ophthalmoplegias,"niemann-pick disease, type a"
"vertical ophthalmoplegia, supraoptic","niemann-pick disease, type a"
"vertical ophthalmoplegias, supraoptic","niemann-pick disease, type a"
"niemann-pick disease, type b","niemann-pick disease, type b"
"niemann pick disease, type b","niemann-pick disease, type b"
niemann-pick's disease type b,"niemann-pick disease, type b"
niemann pick's disease type b,"niemann-pick disease, type b"
"niemann-pick disease, visceral","niemann-pick disease, type b"
"niemann pick disease, visceral","niemann-pick disease, type b"
type b niemann-pick disease,"niemann-pick disease, type b"
type b niemann pick disease,"niemann-pick disease, type b"
"niemann-pick disease, non-neuronopathic type","niemann-pick disease, type b"
"niemann pick disease, non neuronopathic type","niemann-pick disease, type b"
"niemann-pick disease, type e","niemann-pick disease, type b"
"niemann pick disease, type e","niemann-pick disease, type b"
niemann-pick's disease type e,"niemann-pick disease, type b"
niemann pick's disease type e,"niemann-pick disease, type b"
"niemann-pick disease, adult non-neuronopathic","niemann-pick disease, type b"
"niemann pick disease, adult non neuronopathic","niemann-pick disease, type b"
"niemann-pick disease, type c","niemann-pick disease, type c"
"niemann pick disease, type c","niemann-pick disease, type c"
niemann-pick type c disease,"niemann-pick disease, type c"
niemann pick type c disease,"niemann-pick disease, type c"
niemann-pick disease with cholesterol esterification block,"niemann-pick disease, type c"
niemann pick disease with cholesterol esterification block,"niemann-pick disease, type c"
neurovisceral storage disease with vertical supranuclear ophthalmoplegia,"niemann-pick disease, type c"
niemann-pick disease without sphingomyelinase deficiency,"niemann-pick disease, type c"
niemann pick disease without sphingomyelinase deficiency,"niemann-pick disease, type c"
"niemann-pick disease, chronic neuronopathic form","niemann-pick disease, type c"
"niemann pick disease, chronic neuronopathic form","niemann-pick disease, type c"
niemann-pick disease type c,"niemann-pick disease, type c"
niemann pick disease type c,"niemann-pick disease, type c"
niemann-pick's disease type c,"niemann-pick disease, type c"
niemann pick's disease type c,"niemann-pick disease, type c"
"niemann-pick disease, type c1","niemann-pick disease, type c"
"niemann pick disease, type c1","niemann-pick disease, type c"
"niemann-pick disease, subacute juvenile form","niemann-pick disease, type c"
"niemann pick disease, subacute juvenile form","niemann-pick disease, type c"
"niemann-pick disease, type d","niemann-pick disease, type c"
"niemann pick disease, type d","niemann-pick disease, type c"
"niemann-pick disease, nova scotian","niemann-pick disease, type c"
"niemann pick disease, nova scotian","niemann-pick disease, type c"
niemann-pick's disease type d,"niemann-pick disease, type c"
niemann pick's disease type d,"niemann-pick disease, type c"
niemann-pick disease type d,"niemann-pick disease, type c"
niemann pick disease type d,"niemann-pick disease, type c"
nova scotia niemann-pick disease (type d),"niemann-pick disease, type c"
nova scotia niemann pick disease (type d),"niemann-pick disease, type c"
nova scotia (type d) form of niemann-pick disease,"niemann-pick disease, type c"
niemann-pick type d disease,"niemann-pick disease, type c"
niemann pick type d disease,"niemann-pick disease, type c"
trigger finger disorder,trigger finger disorder
trigger digits,trigger finger disorder
"digit, trigger",trigger finger disorder
"digits, trigger",trigger finger disorder
trigger digit,trigger finger disorder
snapping finger,trigger finger disorder
"finger, snapping",trigger finger disorder
"fingers, snapping",trigger finger disorder
snapping fingers,trigger finger disorder
flexor tendon entrapment,trigger finger disorder
"entrapment, flexor tendon",trigger finger disorder
"entrapments, flexor tendon",trigger finger disorder
flexor tendon entrapments,trigger finger disorder
"tendon entrapment, flexor",trigger finger disorder
"tendon entrapments, flexor",trigger finger disorder
trigger thumb,trigger finger disorder
"thumb, trigger",trigger finger disorder
"thumbs, trigger",trigger finger disorder
trigger thumbs,trigger finger disorder
female urogenital diseases,female urogenital diseases
female urogenital disease,female urogenital diseases
"urogenital disease, female",female urogenital diseases
"urogenital diseases, female",female urogenital diseases
female genitourinary diseases,female urogenital diseases
female genitourinary disease,female urogenital diseases
"genitourinary disease, female",female urogenital diseases
"genitourinary diseases, female",female urogenital diseases
balanitis xerotica obliterans,balanitis xerotica obliterans
kraurosis penis,balanitis xerotica obliterans
male urogenital diseases,male urogenital diseases
male urogenital disease,male urogenital diseases
"urogenital disease, male",male urogenital diseases
"urogenital diseases, male",male urogenital diseases
male genitourinary diseases,male urogenital diseases
"genitourinary disease, male",male urogenital diseases
"genitourinary diseases, male",male urogenital diseases
male genitourinary disease,male urogenital diseases
cystocele,cystocele
urinary bladder prolapse,cystocele
"prolapse, urinary bladder",cystocele
fallen urinary bladder,cystocele
urolithiasis,urolithiasis
urinary lithiasis,urolithiasis
"lithiasis, urinary",urolithiasis
subacute combined degeneration,subacute combined degeneration
"neuropathy, subacute combined degeneration",subacute combined degeneration
subacute combined neuropathy degeneration,subacute combined degeneration
pyomyositis,pyomyositis
tropical myositis,pyomyositis
"myositis, tropical",pyomyositis
"refsum disease, infantile","refsum disease, infantile"
"disease, infantile refsum","refsum disease, infantile"
infantile phytanic acid storage disease,"refsum disease, infantile"
"refsum's disease, infantile","refsum disease, infantile"
"refsums disease, infantile","refsum disease, infantile"
infantile refsum's disease,"refsum disease, infantile"
"disease, infantile refsum's","refsum disease, infantile"
infantile refsums disease,"refsum disease, infantile"
"refsum disease, infantile form","refsum disease, infantile"
infantile form of phytanic acid storage disease,"refsum disease, infantile"
infantile refsum disease,"refsum disease, infantile"
tarlov cysts,tarlov cysts
perineural cyst,tarlov cysts
"cyst, perineural",tarlov cysts
"cysts, perineural",tarlov cysts
perineural cysts,tarlov cysts
sacral perineural cyst,tarlov cysts
sacral perineural cysts,tarlov cysts
"cyst, sacral perineural",tarlov cysts
"cysts, sacral perineural",tarlov cysts
sacral tarlov cysts,tarlov cysts
"cysts, sacral tarlov",tarlov cysts
perineurial cyst,tarlov cysts
tarlov cyst,tarlov cysts
"cyst, tarlov",tarlov cysts
"cysts, tarlov",tarlov cysts
perineurial cysts,tarlov cysts
"cyst, perineurial",tarlov cysts
"cysts, perineurial",tarlov cysts
pyonephrosis,pyonephrosis
"hydronephrosis, infected",pyonephrosis
infected hydronephrosis,pyonephrosis
ureterolithiasis,ureterolithiasis
ureterolithiases,ureterolithiasis
nephrolithiasis,nephrolithiasis
familial hypophosphatemic rickets,familial hypophosphatemic rickets
"hypophosphatemic rickets, familial",familial hypophosphatemic rickets
"rickets, familial hypophosphatemic",familial hypophosphatemic rickets
hypocalcemic vitamin d-resistant rickets,familial hypophosphatemic rickets
hypocalcemic vitamin d resistant rickets,familial hypophosphatemic rickets
hereditary hypophosphatemic rickets,familial hypophosphatemic rickets
"hypophosphatemic rickets, hereditary",familial hypophosphatemic rickets
"rickets, hereditary hypophosphatemic",familial hypophosphatemic rickets
"vitamin d-resistant rickets with end-organ unresponsiveness to 1,25-dihydroxycholecalciferol",familial hypophosphatemic rickets
"vitamin d resistant rickets with end organ unresponsiveness to 1,25 dihydroxycholecalciferol",familial hypophosphatemic rickets
"vitamin d-resistant rickets, hereditary",familial hypophosphatemic rickets
"vitamin d resistant rickets, hereditary",familial hypophosphatemic rickets
hereditary vitamin d-resistant rickets,familial hypophosphatemic rickets
hereditary vitamin d resistant rickets,familial hypophosphatemic rickets
"generalized resistance to 1,25-dihydroxyvitamin d",familial hypophosphatemic rickets
"generalized resistance to 1,25 dihydroxyvitamin d",familial hypophosphatemic rickets
"rickets, hereditary vitamin d-resistant",familial hypophosphatemic rickets
"rickets, hereditary vitamin d resistant",familial hypophosphatemic rickets
"vitamin d-resistant rickets, x-linked",familial hypophosphatemic rickets
"vitamin d resistant rickets, x linked",familial hypophosphatemic rickets
"hypophosphatemic rickets, x-linked recessive",familial hypophosphatemic rickets
"hypophosphatemic rickets, x linked recessive",familial hypophosphatemic rickets
"rickets, x-linked hypophosphatemic",familial hypophosphatemic rickets
"hypophosphatemic rickets, x-linked",familial hypophosphatemic rickets
x-linked hypophosphatemic rickets,familial hypophosphatemic rickets
"hypophosphatemia, x-linked",familial hypophosphatemic rickets
"hypophosphatemia, x linked",familial hypophosphatemic rickets
x-linked hypophosphatemia,familial hypophosphatemic rickets
x linked hypophosphatemia,familial hypophosphatemic rickets
"hypophosphatemic rickets, x-linked dominant",familial hypophosphatemic rickets
"hypophosphatemic rickets, x linked dominant",familial hypophosphatemic rickets
azotemia,azotemia
azotaemia,azotemia
respiratory aspiration,respiratory aspiration
"aspiration, respiratory",respiratory aspiration
nocturia,nocturia
nycturia,nocturia
dysuria,dysuria
"urinary bladder, overactive","urinary bladder, overactive"
overactive bladder,"urinary bladder, overactive"
overactive urinary bladder,"urinary bladder, overactive"
"bladder, overactive","urinary bladder, overactive"
overactive detrusor,"urinary bladder, overactive"
"detrusor, overactive","urinary bladder, overactive"
overactive detrusor function,"urinary bladder, overactive"
"detrusor function, overactive","urinary bladder, overactive"
"urinary incontinence, urge","urinary incontinence, urge"
urinary reflex incontinence,"urinary incontinence, urge"
"incontinence, urinary reflex","urinary incontinence, urge"
urinary urge incontinence,"urinary incontinence, urge"
urge incontinence,"urinary incontinence, urge"
"incontinence, urge","urinary incontinence, urge"
nocturnal enuresis,nocturnal enuresis
"enuresis, nocturnal",nocturnal enuresis
nighttime urinary incontinence,nocturnal enuresis
"incontinence, nighttime urinary",nocturnal enuresis
"urinary incontinence, nighttime",nocturnal enuresis
bedwetting,nocturnal enuresis
diurnal enuresis,diurnal enuresis
"enuresis, diurnal",diurnal enuresis
daytime wetting,diurnal enuresis
"wetting, daytime",diurnal enuresis
daytime urinary incontinence,diurnal enuresis
"incontinence, daytime urinary",diurnal enuresis
"urinary incontinence, daytime",diurnal enuresis
hyper-igm immunodeficiency syndrome,hyper-igm immunodeficiency syndrome
hyper igm immunodeficiency syndrome,hyper-igm immunodeficiency syndrome
hyper-igm immunodeficiency syndromes,hyper-igm immunodeficiency syndrome
"immunodeficiency syndrome, hyper-igm",hyper-igm immunodeficiency syndrome
"immunodeficiency syndromes, hyper-igm",hyper-igm immunodeficiency syndrome
